METER_NO,DATE,PMAX_KW
2246006313,2026-01-01,0.92
2310396104,2026-01-01,0.1
2310396105,2026-01-01,23.84
2310396106,2026-01-01,29.2
2310396107,2026-01-01,21
2310396108,2026-01-01,21.32
2310396110,2026-01-01,76.32
2310396111,2026-01-01,6.88
2410121326,2026-01-01,4.2
2410121353,2026-01-01,2.72
2410121371,2026-01-01,3.36
2410121424,2026-01-01,0
2410121454,2026-01-01,24.16
2410121574,2026-01-01,4.96
2410131378,2026-01-01,2
2410131383,2026-01-01,14.8
2410131384,2026-01-01,155.8
2410131387,2026-01-01,13.2
2410131547,2026-01-01,3.09
2410320615,2026-01-01,119
2410883990,2026-01-01,46.68
2410883991,2026-01-01,10.9
2410883993,2026-01-01,36.12
2410883994,2026-01-01,7.36
2411087432,2026-01-01,1.4
2411087433,2026-01-01,8.5
2411290205,2026-01-01,20.64
2510014481,2026-01-01,8
2510014482,2026-01-01,1.16
2510014483,2026-01-01,12
2510014484,2026-01-01,18.72
2510178139,2026-01-01,26.1
2510178140,2026-01-01,42.1
2510203103,2026-01-01,55.2
2510203104,2026-01-01,39.2
2510203105,2026-01-01,1.1
2510203106,2026-01-01,2.2
2510203108,2026-01-01,35.2
2510203109,2026-01-01,11.2
2510203111,2026-01-01,0.28
2510203113,2026-01-01,23.84
2510203114,2026-01-01,7.08
2510203115,2026-01-01,17.64
2510203116,2026-01-01,18.9
2510203117,2026-01-01,41.76
2510203119,2026-01-01,0
2510203120,2026-01-01,37.6
2510203121,2026-01-01,22.6
2510203122,2026-01-01,1.16
2510203123,2026-01-01,0.72
2510203127,2026-01-01,0.96
2510203128,2026-01-01,567
2510203131,2026-01-01,0
2510203132,2026-01-01,17.64
2510203133,2026-01-01,0.92
2510203134,2026-01-01,2.24
2510224049,2026-01-01,32.22
2510317537,2026-01-01,1.72
2510389559,2026-01-01,0
2510389643,2026-01-01,14.61
2510389931,2026-01-01,12.87
2510633385,2026-01-01,20.46
2510633393,2026-01-01,394.2
2510633397,2026-01-01,0
2510633399,2026-01-01,31.2
2510633410,2026-01-01,9.18
2510633411,2026-01-01,42.4
2246006313,2026-01-02,1.04
2310396104,2026-01-02,0
2310396105,2026-01-02,24.32
2310396106,2026-01-02,320
2310396107,2026-01-02,510
2310396108,2026-01-02,34.08
2310396110,2026-01-02,265.92
2310396111,2026-01-02,113.28
2410121326,2026-01-02,4.2
2410121353,2026-01-02,85.92
2410121371,2026-01-02,3.52
2410121424,2026-01-02,0
2410121454,2026-01-02,27.36
2410121574,2026-01-02,106.4
2410131378,2026-01-02,78.8
2410131383,2026-01-02,38.8
2410131384,2026-01-02,218.4
2410131387,2026-01-02,42.6
2410131547,2026-01-02,4.64
2410320615,2026-01-02,1722.7
